(40.790130615234375, 29.509185791015625),
(40.790130615234375, 29.509187698364258),
(40.79012680053711, 29.509185791015625),
(40.79012680053711, 29.509180068969727),
(40.79012680053711, 29.509174346923828),
(40.790122985839844, 29.509172439575195),
(40.790122985839844, 29.509166717529297),
(40.790122985839844, 29.50916290283203),
(40.790122985839844, 29.50916290283203),
(40.79012680053711, 29.50916290283203),
(40.79012680053711, 29.509166717529297),
(40.790130615234375, 29.50916862487793),
(40.790130615234375, 29.509170532226562),
(40.79013442993164, 29.509174346923828),
(40.790138244628906, 29.509178161621094),
(40.79014205932617, 29.509183883666992),
(40.79014587402344, 29.509191513061523),
(40.7901496887207, 29.509199142456055),
(40.79015350341797, 29.509206771850586),
(40.7901611328125, 29.509214401245117),
(40.79016876220703, 29.509220123291016),
(40.79018020629883, 29.509225845336914),
(40.790191650390625, 29.509225845336914),
(40.790199279785156, 29.50922393798828),
(40.79021072387695, 29.509220123291016),
(40.790218353271484, 29.509220123291016),
(40.790225982666016, 29.509218215942383),
(40.79022979736328, 29.509220123291016),
(40.79023361206055, 29.509218215942383),
