(40.79038619995117, 29.509014129638672),
(40.7903938293457, 29.509014129638672),
(40.7903938293457, 29.509010314941406),
(40.79039764404297, 29.50901222229004),
(40.79039764404297, 29.509016036987305),
(40.790401458740234, 29.509021759033203),
(40.790401458740234, 29.5090274810791),
(40.7904052734375, 29.509029388427734),
(40.79041290283203, 29.509031295776367),
(40.79041290283203, 29.509035110473633),
(40.79041290283203, 29.509033203125),
(40.7904167175293, 29.509033203125),
(40.7904167175293, 29.509035110473633),
(40.7904167175293, 29.509035110473633),
(40.7904167175293, 29.509037017822266),
(40.7904167175293, 29.509035110473633),
(40.79042053222656, 29.509035110473633),
(40.79042053222656, 29.509035110473633),
(40.79042053222656, 29.50904083251953),
(40.79042053222656, 29.50904083251953),
(40.79042053222656, 29.50904083251953),
(40.79042053222656, 29.509042739868164),
(40.79042434692383, 29.5090389251709),
(40.79042053222656, 29.509035110473633),
(40.79042434692383, 29.509031295776367),
(40.790428161621094, 29.509031295776367),
(40.790428161621094, 29.509033203125),
(40.790428161621094, 29.509033203125),
(40.790428161621094, 29.509029388427734),
(40.790428161621094, 29.509029388427734),
(40.790428161621094, 29.509031295776367),
(40.79043197631836, 29.509042739868164),
(40.79043197631836, 29.509048461914062),
(40.79043197631836, 29.509048461914062),
(40.790428161621094, 29.509050369262695),
(40.79043197631836, 29.509050369262695),
(40.79043197631836, 29.509048461914062),
(40.790428161621094, 29.509050369262695),
(40.790428161621094, 29.50905418395996),
(40.790428161621094, 29.509048461914062),
(40.79042053222656, 29.50904655456543),
(40.7904167175293, 29.509050369262695),
(40.79041290283203, 29.509048461914062),
(40.790409088134766, 29.509044647216797),
(40.7904052734375, 29.5090389251709),
(40.79039764404297, 29.5090389251709),
(40.79039001464844, 29.509023666381836),
(40.79038619995117, 29.50901222229004),
(40.790382385253906, 29.509000778198242),
(40.790382385253906, 29.508996963500977),
(40.79037857055664, 29.508989334106445),
(40.790382385253906, 29.508987426757812),
(40.790382385253906, 29.508987426757812),
(40.790382385253906, 29.508983612060547),
(40.79037857055664, 29.508989334106445),
(40.790382385253906, 29.508989334106445),
(40.790382385253906, 29.508991241455078),
(40.79037857055664, 29.508995056152344),
(40.790374755859375, 29.508995056152344),
(40.790374755859375, 29.508991241455078),
(40.79037857055664, 29.50899314880371),
(40.79037857055664, 29.508995056152344),
(40.79037857055664, 29.50899314880371),
(40.790382385253906, 29.508983612060547),
(40.79037857055664, 29.508975982666016),
(40.79037857055664, 29.508981704711914),
(40.790382385253906, 29.508989334106445),
(40.79038619995117, 29.508991241455078),
(40.79039001464844, 29.50899314880371),
(40.79039001464844, 29.509002685546875),
(40.790382385253906, 29.508991241455078),
(40.790382385253906, 29.50898551940918),
(40.790382385253906, 29.508981704711914),
(40.790382385253906, 29.508974075317383),
(40.790374755859375, 29.508975982666016),
(40.790374755859375, 29.508974075317383),
(40.79037857055664, 29.50897216796875),
(40.79037857055664, 29.508975982666016),
(40.790382385253906, 29.50897789001465),
(40.790382385253906, 29.508974075317383),
(40.79038619995117, 29.50897216796875),
(40.79039001464844, 29.50897216796875),
(40.7903938293457, 29.50897216796875),
(40.7903938293457, 29.508970260620117),
(40.79039001464844, 29.50896453857422),
(40.79038619995117, 29.50895118713379),
(40.79039001464844, 29.50893783569336),
(40.790382385253906, 29.508934020996094),
(40.790382385253906, 29.508922576904297),
(40.790382385253906, 29.50891876220703),
(40.790382385253906, 29.508922576904297),
(40.79037857055664, 29.50891876220703),
(40.790374755859375, 29.50892448425293),
(40.79037094116211, 29.508930206298828),
(40.79037094116211, 29.508934020996094),
(40.79037094116211, 29.50893783569336),
(40.79037094116211, 29.508930206298828),
(40.790374755859375, 29.508926391601562),
(40.79037094116211, 29.50893211364746),
